Title,Price,Availability,Rating,Genre
A Light in the Attic,£51.77,In stock,Three,Books
Tipping the Velvet,£53.74,In stock,One,Books
Soumission,£50.10,In stock,One,Books
Sharp Objects,£47.82,In stock,Four,Books
Sapiens: A Brief History of Humankind,£54.23,In stock,Five,Books
The Requiem Red,£22.65,In stock,One,Books
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock,Four,Books
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock,Three,Books
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock,Four,Books
The Black Maria,£52.15,In stock,One,Books
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock,Two,Books
Shakespeare's Sonnets,£20.66,In stock,Four,Books
Set Me Free,£17.46,In stock,Five,Books
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock,Five,Books
Rip it Up and Start Again,£35.02,In stock,Five,Books
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock,Three,Books
Olio,£23.88,In stock,One,Books
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,One,Books
Libertarianism for Beginners,£51.33,In stock,Two,Books
It's Only the Himalayas,£45.17,In stock,Two,Books
